         78736 function calls (78717 primitive calls) in 5.235 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      740    0.000    0.000    0.000    0.000 {chr}
        1    0.000    0.000    0.000    0.000 os.py:35(_get_exports_list)
       13    0.000    0.000    0.000    0.000 {all}
      2/1    0.000    0.000    0.000    0.000 sre_parse.py:301(_parse_sub)
      3/1    0.000    0.000    0.000    0.000 sre_compile.py:32(_compile)
      2/1    0.000    0.000    0.000    0.000 sre_parse.py:379(_parse)
       99    0.000    0.000    0.000    0.000 collections.py:329(<genexpr>)
        5    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x91f8e0}
        1    0.000    0.000    0.000    0.000 {dir}
       24    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 socket.py:179(_socketobject)
        1    0.000    0.000    0.000    0.000 ascii.py:8(<module>)
        1    0.000    0.000    0.000    0.000 random.py:91(__init__)
       19    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        1    0.000    0.000    0.000    0.000 random.py:100(seed)
        1    0.000    0.000    0.000    0.000 sre_compile.py:178(_compile_charset)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
       13    0.000    0.000    0.000    0.000 collections.py:355(<genexpr>)
        1    0.000    0.000    0.000    0.000 sre_compile.py:207(_optimize_charset)
        1    0.000    0.000    0.000    0.000 sre_compile.py:359(_compile_info)
       19    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 cProfile.py:5(<module>)
       13    0.000    0.000    0.000    0.000 collections.py:353(<genexpr>)
        6    0.000    0.000    0.000    0.000 hashlib.py:94(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 {posix.urandom}
        8    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       11    0.000    0.000    0.000    0.000 sre_parse.py:182(__next)
       16    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
      4/2    0.000    0.000    0.000    0.000 sre_parse.py:140(getwidth)
        1    0.000    0.000    0.000    0.000 {function seed at 0x7fa6327cded8}
        1    0.000    0.000    0.000    0.000 <string>:1(SplitResult)
        8    0.000    0.000    0.000    0.000 sre_parse.py:201(get)
        1    0.000    0.000    0.000    0.000 <string>:1(ParseResult)
        4    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
        1    0.000    0.000    0.000    0.000 {math.exp}
       35    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       10    0.000    0.000    0.000    0.000 sre_parse.py:130(__getitem__)
        1    0.000    0.000    0.000    0.000 ascii.py:41(getregentry)
        2    0.000    0.000    0.000    0.000 {repr}
        1    0.000    0.000    0.000    0.000 collections.py:26(OrderedDict)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        5    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {math.log}
        1    0.000    0.000    0.000    0.000 httplib.py:1276(LineAndFileWrapper)
       86    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        1    0.000    0.000    0.000    0.000 httplib.py:1261(BadStatusLine)
